feature,importance
Disulfide_Bond_Content,0.3090150932354556
Amide_Bond_2_Content,0.2900230188943725
Amide_Bond_1_Content,0.20210968170724264
Amide_Bond_1_Structure,0.04354512151524573
PASI,0.03646012512927472
Amide_Bond_2_Structure,0.03497311726391476
Age,0.032828343476778016
BMI,0.0241544945989014
BSA,0.02350757387968896
Gender,0.0033834302991257036
